OID_TRACT_20,GEOID_TRACT_20,NAMELSAD_TRACT_20,AREALAND_TRACT_20,AREAWATER_TRACT_20,MTFCC_TRACT_20,FUNCSTAT_TRACT_20,OID_TRACT_10,GEOID_TRACT_10,NAMELSAD_TRACT_10,AREALAND_TRACT_10,AREAWATER_TRACT_10,MTFCC_TRACT_10,FUNCSTAT_TRACT_10,AREALAND_PART,AREAWATER_PART
2.07903E+13,36005002800,Census Tract 28,414588,24682,G5020,S,2.07403E+13,36005002800,Census Tract 28,414588,24682,G5020,S,414588,24682\
2.07903E+13,36005003100,Census Tract 31,154703,0,G5020,S,2.07403E+13,36005003100,Census Tract 31,154703,0,G5020,S,154703,0\
2.07903E+13,36005003300,Census Tract 33,152385,0,G5020,S,2.07403E+13,36005003300,Census Tract 33,152385,0,G5020,S,152385,0\
2.07903E+13,36005003500,Census Tract 35,142005,0,G5020,S,2.07403E+13,36005003500,Census Tract 35,142005,0,G5020,S,142005,0\
2.07903E+13,36005003700,Census Tract 37,165973,0,G5020,S,2.07403E+13,36005003700,Census Tract 37,165973,0,G5020,S,165973,0\
2.07903E+13,36005003800,Census Tract 38,63397,0,G5020,S,2.07403E+13,36005003800,Census Tract 38,63397,0,G5020,S,63397,0\
2.07903E+13,36005003900,Census Tract 39,216210,0,G5020,S,2.07403E+13,36005003900,Census Tract 39,216210,0,G5020,S,216210,0\
2.07903E+13,36005004001,Census Tract 40.01,123145,0,G5020,S,2.07403E+13,36005004001,Census Tract 40.01,123145,0,G5020,S,123145,0\
2.07903E+13,36005004100,Census Tract 41,184732,0,G5020,S,2.07403E+13,36005004100,Census Tract 41,184732,0,G5020,S,184732,0\
2.07904E+14,36005004200,Census Tract 42,483357,0,G5020,S,2.07404E+14,36005004200,Census Tract 42,483357,0,G5020,S,483357,0\
2.07903E+13,36005004300,Census Tract 43,225395,0,G5020,S,2.07403E+13,36005004300,Census Tract 43,225395,0,G5020,S,225395,0\
2.07903E+13,36005004400,Census Tract 44,265578,0,G5020,S,2.07403E+13,36005004400,Census Tract 44,265578,0,G5020,S,265578,0\
2.07903E+13,36005004600,Census Tract 46,135339,0,G5020,S,2.07403E+13,36005004600,Census Tract 46,135339,0,G5020,S,135339,0\
2.07903E+13,36005004800,Census Tract 48,150832,0,G5020,S,2.07403E+13,36005004800,Census Tract 48,150832,0,G5020,S,150832,0\
2.07904E+14,36005005001,Census Tract 50.01,97889,0,G5020,S,2.07404E+14,36005005001,Census Tract 50.01,97889,0,G5020,S,97889,0\
2.07904E+14,36005005002,Census Tract 50.02,113902,0,G5020,S,2.07404E+14,36005005002,Census Tract 50.02,113902,0,G5020,S,113902,0\
2.07904E+14,36005005100,Census Tract 51,510445,0,G5020,S,2.07404E+14,36005005100,Census Tract 51,510445,0,G5020,S,510445,0\
2.07903E+13,36005005200,Census Tract 52,182689,0,G5020,S,2.07403E+13,36005005200,Census Tract 52,182689,0,G5020,S,182689,0\
2.07904E+14,36005005300,Census Tract 53,72049,0,G5020,S,2.07404E+14,36005005300,Census Tract 53,72049,0,G5020,S,72049,0\
2.07903E+13,36005005400,Census Tract 54,196516,0,G5020,S,2.07403E+13,36005005400,Census Tract 54,196516,0,G5020,S,196516,0\
2.07903E+13,36005005600,Census Tract 56,136188,0,G5020,S,2.07403E+13,36005005600,Census Tract 56,136188,0,G5020,S,136188,0\
2.07903E+13,36005005902,Census Tract 59.02,70347,0,G5020,S,2.07403E+13,36005005902,Census Tract 59.02,70347,0,G5020,S,70347,0\
2.07903E+13,36005006000,Census Tract 60,336489,0,G5020,S,2.07403E+13,36005006000,Census Tract 60,315748,0,G5020,S,315101,0\
