GEOID,year,total_crashes,persons_injured,persons_killed,pedestrians_injured,pedestrians_killed,cyclists_injured,cyclists_killed,motorists_injured,motorists_killed,total_population,crash_rate_per_1000,injury_rate_per_1000,fatality_rate_per_1000
36061000202,2019,95,32,0,3,0,5,0,24,0,95366.2,0.996160065096439,0.335548653506169,0
36061000202,2020,57,20,0,1,0,4,0,15,0,85386.05,0.667556351418059,0.234230298743179,0
36061000202,2021,53,23,0,4,0,4,0,14,0,84480.01,0.627367349980191,0.272253755651781,0
36061000202,2022,54,25,1,11,0,1,0,13,1,87780.02,0.61517415922211,0.284802851491718,0.0113921140596687
36061000202,2023,45,27,0,6,0,3,0,16,0,84250.09,0.534124058502489,0.320474435101494,0
36061000500,2018,20,7,0,0,0,0,0,7,0,0,,,
36061000600,2018,140,62,2,19,1,5,1,38,0,116034.37,1.20653906252087,0.534324441973529,0.0172362723217267
36061000600,2019,103,46,0,14,0,6,0,26,0,116451.39,0.884489227651126,0.395014606523804,0
36061000600,2020,54,24,0,8,0,4,0,12,0,127707.34,0.422841788107089,0.187929683603151,0
36061000600,2021,58,35,0,3,0,9,0,21,0,129847.21,0.44667883122017,0.269547570563896,0
36061000600,2022,49,20,0,5,0,6,0,7,0,132255.03,0.370496305509136,0.151222981840464,0
36061000600,2023,38,23,0,6,0,2,0,13,0,129442.9,0.293565734389449,0.177684523446245,0
36061000700,2018,173,38,0,13,0,10,0,15,0,127932.164580198,1.35227915956624,0.297032416552123,0
36061000700,2019,167,21,0,11,0,4,0,6,0,124962.308576331,1.33640296744351,0.168050672552776,0
36061000700,2020,55,13,0,2,0,5,0,6,0,126301.86,0.435464687535085,0.102928017053747,0
36061000700,2021,58,12,0,4,0,4,0,3,0,128038.8,0.452987688107043,0.0937215906428364,0
36061000700,2022,66,12,0,4,0,6,0,2,0,128516.77,0.513551655554369,0.0933730282826124,0
36061000700,2023,65,12,0,5,0,1,0,5,0,133526.75,0.486793844679063,0.0898696328638269,0
36061000800,2018,172,32,0,3,0,7,0,22,0,112866.47,1.52392468728755,0.283520872053498,0
36061000800,2019,103,25,0,8,0,5,0,12,0,117473.51,0.876793414957977,0.212813935669412,0
36061000800,2020,40,15,0,5,0,7,0,3,0,117303.27,0.340996461564967,0.127873673086863,0
36061000800,2021,60,27,0,13,0,7,0,6,0,115778.16,0.518232454203798,0.233204604391709,0
36061000800,2022,72,40,0,12,0,8,0,17,0,111808.02,0.643960960940011,0.357756089411117,0
36061000800,2023,58,23,0,6,0,6,0,10,0,114208.04,0.507845156960929,0.201386872587954,0
36061000900,2018,153,30,1,13,0,0,0,17,1,24469.8654198024,6.25258853594609,1.22599775214629,0.0408665917382097
36061000900,2019,144,31,0,6,0,4,0,21,0,25060.831423669,5.74601846066439,1.23699008528192,0
36061000900,2020,38,14,0,3,0,1,0,10,0,26707.13,1.42284101661242,0.524204585067733,0
36061000900,2021,45,9,0,4,0,1,0,4,0,26451.22,1.7012447819042,0.34024895638084,0
36061000900,2022,51,8,0,3,0,0,0,5,0,25579.07,1.99381760165635,0.312755702220605,0
36061000900,2023,31,5,0,1,0,1,0,1,0,25793.06,1.20187368230059,0.19385059391945,0
36061001001,2018,114,40,0,0,0,2,0,38,0,19498.8,5.8465136316081,2.05140829179232,0
36061001001,2019,20,7,0,0,0,0,0,7,0,20682.84,0.966985191588776,0.338444817056072,0
36061001001,2020,15,12,0,0,0,0,0,12,0,19326.83,0.776123140732339,0.620898512585872,0
36061001001,2021,20,11,0,0,0,3,0,8,0,21046.08,0.950295732031808,0.522662652617495,0
36061001001,2022,13,7,0,0,0,2,0,5,0,21816.15,0.595888825480206,0.320863213720111,0
36061001001,2023,8,9,0,1,0,0,0,8,0,22403.16,0.357092481596346,0.40172904179589,0
36061001002,2018,126,34,0,1,0,0,0,33,0,64856.01,1.94276521173597,0.524238231738277,0
36061001002,2019,61,14,0,3,0,1,0,10,0,63806.95,0.956008710649859,0.219411835231115,0
36061001002,2020,42,18,0,0,0,0,0,18,0,61646.08,0.681308527646851,0.291989368991508,0
36061001002,2021,29,18,0,0,0,2,0,16,0,66821.2,0.433994001903588,0.269375587388434,0
36061001002,2022,28,24,0,0,0,2,0,22,0,69957.25,0.400244434994229,0.343066658566482,0
36061001002,2023,26,18,0,0,0,0,0,17,0,71684.32,0.362701355052262,0.251100938113105,0
36061001200,2018,55,15,0,3,0,3,0,9,0,51113.1,1.07604508433259,0.293466841181615,0
36061001200,2019,38,4,0,1,0,1,0,2,0,53072.16,0.716006282766709,0.0753690823964956,0
36061001200,2020,35,15,0,3,0,4,0,8,0,53455.19,0.654754009853861,0.28060886136594,0
36061001200,2021,38,18,0,3,0,5,0,9,0,54473.27,0.697589845441627,0.330437295209192,0
36061001200,2022,32,18,0,3,0,3,0,9,0,52945.1,0.604399651714701,0.339974804089519,0
36061001200,2023,21,11,0,1,0,1,0,9,0,55269.22,0.379958320381579,0.199025786866542,0
36061001300,2018,393,67,0,17,0,13,0,37,0,67671.83,5.80743863436233,0.990072235374749,0
36061001300,2019,313,68,0,18,0,14,0,36,0,65963.73,4.74503185311079,1.03086953997295,0
